        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -23.45000076     -29340.17773438     -1.14943649E+02      3.91968573E-03     -3.05066627E-12        6.138795E+06
        -23.42499924     -29338.00390625     -1.14712982E+02      3.91206006E-03     -3.04883527E-12        6.134725E+06
        -23.39999962     -29335.83203125     -1.14448166E+02      3.90444184E-03     -3.04550460E-12        6.130652E+06
        -23.37500000     -29333.66015625     -1.14215645E+02      3.89683270E-03     -3.04291401E-12        6.126578E+06
        -23.35000038     -29331.48828125     -1.13994003E+02      3.88922729E-03     -3.04105525E-12        6.122500E+06
        -23.32500076     -29329.31445312     -1.13721840E+02      3.88162723E-03     -3.03918457E-12        6.118423E+06
        -23.29999924     -29327.14257812     -1.13356712E+02      3.87403136E-03     -3.03545405E-12        6.114342E+06
        -23.27499962     -29324.97070312     -1.13093307E+02      3.86645016E-03     -3.03172613E-12        6.110262E+06
        -23.25000000     -29322.80078125     -1.12929977E+02      3.85887269E-03     -3.03020066E-12        6.106180E+06
        -23.22500038     -29320.62890625     -1.12765762E+02      3.85129917E-03     -3.02976286E-12        6.102096E+06
        -23.20000076     -29318.45703125     -1.12534637E+02      3.84372380E-03     -3.02820225E-12        6.098008E+06
        -23.17499924     -29316.28710938     -1.12336494E+02      3.83615796E-03     -3.02590028E-12        6.093916E+06
        -23.14999962     -29314.11718750     -1.12170769E+02      3.82859446E-03     -3.02541108E-12        6.089822E+06
        -23.12500000     -29311.94726562     -1.11938583E+02      3.82103096E-03     -3.02417141E-12        6.085724E+06
        -23.10000038     -29309.77734375     -1.11673622E+02      3.81347351E-03     -3.02219057E-12        6.081624E+06
        -23.07500076     -29307.60742188     -1.11408997E+02      3.80592002E-03     -3.01910797E-12        6.077522E+06
        -23.04999924     -29305.43945312     -1.11177048E+02      3.79837793E-03     -3.01638532E-12        6.073418E+06
        -23.02499962     -29303.26953125     -1.10977417E+02      3.79083818E-03     -3.01545919E-12        6.069314E+06
        -23.00000000     -29301.09960938     -1.10745087E+02      3.78330075E-03     -3.01343239E-12        6.065206E+06
        -22.97500038     -29298.93164062     -1.10480507E+02      3.77577101E-03     -3.01067569E-12        6.061095E+06
        -22.95000076     -29296.76171875     -1.10280334E+02      3.76824732E-03     -3.00827007E-12        6.056984E+06
        -22.92499924     -29294.59375000     -1.10111565E+02      3.76072968E-03     -3.00693108E-12        6.052870E+06
        -22.89999962     -29292.42578125     -1.09878471E+02      3.75321275E-03     -3.00628988E-12        6.048752E+06
        -22.87500000     -29290.25781250     -1.09613602E+02      3.74569814E-03     -3.00420019E-12        6.044632E+06
        -22.85000038     -29288.08984375     -1.09380577E+02      3.73819168E-03     -3.00138820E-12        6.040512E+06
        -22.82500076     -29285.92187500     -1.09179092E+02      3.73069127E-03     -2.99999131E-12        6.036388E+06
        -22.79999924     -29283.75390625     -1.08945618E+02      3.72319180E-03     -2.99822168E-12        6.032262E+06
        -22.77499962     -29281.58593750     -1.08649406E+02      3.71570024E-03     -2.99466918E-12        6.028135E+06
        -22.75000000     -29279.41992188     -1.08385033E+02      3.70821846E-03     -2.99146840E-12        6.024007E+06
        -22.72500038     -29277.25195312     -1.08183296E+02      3.70074296E-03     -2.98931995E-12        6.019876E+06
        -22.70000076     -29275.08593750     -1.07981194E+02      3.69327189E-03     -2.98786408E-12        6.015746E+06
        -22.67499924     -29272.91992188     -1.07716774E+02      3.68580362E-03     -2.98533724E-12        6.011612E+06
        -22.64999962     -29270.75390625     -1.07483582E+02      3.67834512E-03     -2.98175178E-12        6.007478E+06
        -22.62500000     -29268.58789062     -1.07281029E+02      3.67089477E-03     -2.98026361E-12        6.003343E+06
        -22.60000038     -29266.42382812     -1.07078026E+02      3.66344373E-03     -2.97910524E-12        5.999206E+06
        -22.57500076     -29264.25781250     -1.06874580E+02      3.65599920E-03     -2.97723543E-12        5.995065E+06
        -22.54999924     -29262.09375000     -1.06640511E+02      3.64855770E-03     -2.97535109E-12        5.990922E+06
        -22.52499962     -29259.92968750     -1.06436890E+02      3.64112249E-03     -2.97345460E-12        5.986775E+06
        -22.50000000     -29257.76562500     -1.06262985E+02      3.63369030E-03     -2.97223682E-12        5.982626E+06
        -22.47500038     -29255.60156250     -1.06028137E+02      3.62626137E-03     -2.97134778E-12        5.978474E+06
        -22.45000076     -29253.43554688     -1.05733330E+02      3.61883361E-03     -2.96767732E-12        5.974320E+06
        -22.42499924     -29251.27148438     -1.05499016E+02      3.61142308E-03     -2.96401076E-12        5.970166E+06
        -22.39999962     -29249.10742188     -1.05354111E+02      3.60401371E-03     -2.96274160E-12        5.966012E+06
        -22.37500000     -29246.94335938     -1.05148750E+02      3.59660923E-03     -2.96179964E-12        5.961853E+06
        -22.35000038     -29244.77734375     -1.04854279E+02      3.58920475E-03     -2.95980970E-12        5.957693E+06
        -22.32500076     -29242.61523438     -1.04619438E+02      3.58181028E-03     -2.95644455E-12        5.953530E+06
        -22.29999924     -29240.45312500     -1.04443497E+02      3.57442256E-03     -2.95511922E-12        5.949366E+06
        -22.27499962     -29238.29101562     -1.04237511E+02      3.56703461E-03     -2.95377351E-12        5.945200E+06
        -22.25000000     -29236.12890625     -1.03972702E+02      3.55965365E-03     -2.95071693E-12        5.941031E+06
        -22.22500038     -29233.96679688     -1.03737549E+02      3.55228106E-03     -2.94731579E-12        5.936862E+06
        -22.20000076     -29231.80664062     -1.03502319E+02      3.54491710E-03     -2.94492469E-12        5.932692E+06
        -22.17499924     -29229.64453125     -1.03238113E+02      3.53755639E-03     -2.94319560E-12        5.928520E+06
        -22.14999962     -29227.48437500     -1.03003098E+02      3.53020104E-03     -2.94010606E-12        5.924346E+06
        -22.12500000     -29225.32226562     -1.02768097E+02      3.52285593E-03     -2.93667651E-12        5.920173E+06
        -22.10000038     -29223.16210938     -1.02533096E+02      3.51551757E-03     -2.93458226E-12        5.915998E+06
        -22.07500076     -29221.00195312     -1.02355278E+02      3.50818294E-03     -2.93314353E-12        5.911823E+06
        -22.04999924     -29218.83984375     -1.02176796E+02      3.50085204E-03     -2.93102066E-12        5.907644E+06
        -22.02499962     -29216.67968750     -1.01941002E+02      3.49352788E-03     -2.92888673E-12        5.903461E+06
        -22.00000000     -29214.51953125     -1.01733612E+02      3.48620745E-03     -2.92773661E-12        5.899276E+06
        -21.97500038     -29212.35937500     -1.01554047E+02      3.47888935E-03     -2.92656741E-12        5.895088E+06
        -21.95000076     -29210.19921875     -1.01345856E+02      3.47157475E-03     -2.92405575E-12        5.890898E+06
        -21.92499924     -29208.03906250     -1.01081619E+02      3.46426899E-03     -2.92120603E-12        5.886706E+06
        -21.89999962     -29205.88085938     -1.00845505E+02      3.45696881E-03     -2.91900640E-12        5.882515E+06
        -21.87500000     -29203.72265625     -1.00664955E+02      3.44967400E-03     -2.91712379E-12        5.878320E+06
        -21.85000038     -29201.56250000     -1.00456253E+02      3.44238314E-03     -2.91522622E-12        5.874124E+06
        -21.82500076     -29199.40429688     -1.00219727E+02      3.43509787E-03     -2.91266013E-12        5.869926E+06
        -21.79999924     -29197.24609375     -9.99832382E+01      3.42781981E-03     -2.90975815E-12        5.865726E+06
        -21.77499962     -29195.08789062     -9.97468185E+01      3.42054898E-03     -2.90847901E-12        5.861524E+06
        -21.75000000     -29192.92968750     -9.95104599E+01      3.41327745E-03     -2.90717884E-12        5.857322E+06
        -21.72500038     -29190.77148438     -9.92741623E+01      3.40601313E-03     -2.90359035E-12        5.853118E+06
        -21.70000076     -29188.61328125     -9.90649490E+01      3.39875952E-03     -2.90064804E-12        5.848913E+06
        -21.67499924     -29186.45703125     -9.88555374E+01      3.39150988E-03     -2.89931252E-12        5.844707E+06
        -21.64999962     -29184.29882812     -9.86189804E+01      3.38426302E-03     -2.89731303E-12        5.840499E+06
        -21.62500000     -29182.14257812     -9.83825684E+01      3.37702339E-03     -2.89433560E-12        5.836289E+06
        -21.60000038     -29179.98632812     -9.81729889E+01      3.36979120E-03     -2.89295757E-12        5.832078E+06
        -21.57500076     -29177.83007812     -9.80164490E+01      3.36255855E-03     -2.89123803E-12        5.827864E+06
        -21.54999924     -29175.67382812     -9.78059921E+01      3.35533498E-03     -2.88918694E-12        5.823649E+06
        -21.52499962     -29173.51757812     -9.75425949E+01      3.34811280E-03     -2.88679974E-12        5.819432E+06
        -21.50000000     -29171.36328125     -9.73323288E+01      3.34090111E-03     -2.88408642E-12        5.815215E+06
        -21.47500038     -29169.20703125     -9.71216888E+01      3.33369221E-03     -2.88294996E-12        5.810994E+06
        -21.45000076     -29167.05078125     -9.69107666E+01      3.32648633E-03     -2.88179420E-12        5.806772E+06
        -21.42499924     -29164.89648438     -9.66997757E+01      3.31928325E-03     -2.87966916E-12        5.802548E+06
        -21.39999962     -29162.74218750     -9.65146942E+01      3.31208808E-03     -2.87753328E-12        5.798320E+06
        -21.37500000     -29160.58984375     -9.63031616E+01      3.30489571E-03     -2.87569708E-12        5.794092E+06
        -21.35000038     -29158.43554688     -9.60398788E+01      3.29770963E-03     -2.87353258E-12        5.789861E+06
        -21.32500076     -29156.28125000     -9.57770691E+01      3.29052797E-03     -2.87009891E-12        5.785628E+06
        -21.29999924     -29154.12695312     -9.55402222E+01      3.28335911E-03     -2.86697727E-12        5.781398E+06
        -21.27499962     -29151.97460938     -9.53544693E+01      3.27619328E-03     -2.86478198E-12        5.777165E+06
        -21.25000000     -29149.82031250     -9.51683197E+01      3.26903514E-03     -2.86226381E-12        5.772931E+06
        -21.22500038     -29147.66601562     -9.49564514E+01      3.26188188E-03     -2.86004467E-12        5.768696E+06
        -21.20000076     -29145.51562500     -9.47192383E+01      3.25473491E-03     -2.85781338E-12        5.764458E+06
        -21.17499924     -29143.36328125     -9.45323715E+01      3.24759283E-03     -2.85680724E-12        5.760220E+06
