        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -18.60000038     -28922.83593750     -7.33704224E+01      2.54397932E-03     -2.60372041E-12        5.308396E+06
        -18.57500076     -28920.70703125     -7.32007904E+01      2.53747241E-03     -2.60214246E-12        5.303864E+06
        -18.54999924     -28918.57617188     -7.30374527E+01      2.53096875E-03     -2.60078330E-12        5.299327E+06
        -18.52499962     -28916.44726562     -7.28735886E+01      2.52446858E-03     -2.59940008E-12        5.294787E+06
        -18.50000000     -28914.31835938     -7.27159042E+01      2.51797168E-03     -2.59823348E-12        5.290243E+06
        -18.47500038     -28912.19140625     -7.25308914E+01      2.51147733E-03     -2.59608285E-12        5.285697E+06
        -18.45000076     -28910.06250000     -7.22990723E+01      2.50499137E-03     -2.59224521E-12        5.281148E+06
        -18.42499924     -28907.93359375     -7.20874786E+01      2.49851611E-03     -2.58911859E-12        5.276598E+06
        -18.39999962     -28905.80468750     -7.19023438E+01      2.49204575E-03     -2.58692915E-12        5.272046E+06
        -18.37500000     -28903.67773438     -7.16971588E+01      2.48558144E-03     -2.58401156E-12        5.267490E+06
        -18.35000038     -28901.55078125     -7.14985580E+01      2.47912575E-03     -2.58131949E-12        5.262932E+06
        -18.32500076     -28899.42382812     -7.13193359E+01      2.47267494E-03     -2.57931870E-12        5.258370E+06
        -18.29999924     -28897.29687500     -7.11333160E+01      2.46622902E-03     -2.57706356E-12        5.253805E+06
        -18.27499962     -28895.16992188     -7.09147491E+01      2.45978963E-03     -2.57361905E-12        5.249236E+06
        -18.25000000     -28893.04296875     -7.07221909E+01      2.45336094E-03     -2.57110435E-12        5.244668E+06
        -18.22500038     -28890.91601562     -7.05741882E+01      2.44693412E-03     -2.57020316E-12        5.240096E+06
        -18.20000076     -28888.78906250     -7.03935928E+01      2.44051008E-03     -2.56811044E-12        5.235518E+06
        -18.17499924     -28886.66406250     -7.02254181E+01      2.43409351E-03     -2.56646527E-12        5.230937E+06
        -18.14999962     -28884.53906250     -7.00603027E+01      2.42767786E-03     -2.56525725E-12        5.226352E+06
        -18.12500000     -28882.41406250     -6.98101959E+01      2.42126733E-03     -2.56171603E-12        5.221765E+06
        -18.10000038     -28880.28906250     -6.95919571E+01      2.41486914E-03     -2.55724955E-12        5.217180E+06
        -18.07500076     -28878.16406250     -6.93994675E+01      2.40848097E-03     -2.55415979E-12        5.212596E+06
        -18.04999924     -28876.03906250     -6.92304764E+01      2.40209838E-03     -2.55243114E-12        5.208008E+06
        -18.02499962     -28873.91601562     -6.90734253E+01      2.39571882E-03     -2.55113573E-12        5.203418E+06
        -18.00000000     -28871.79101562     -6.89157715E+01      2.38934276E-03     -2.54981474E-12        5.198822E+06
        -17.97500038     -28869.66796875     -6.87309113E+01      2.38296995E-03     -2.54778642E-12        5.194225E+06
        -17.95000076     -28867.54296875     -6.84970627E+01      2.37660389E-03     -2.54392644E-12        5.189626E+06
        -17.92499924     -28865.41992188     -6.82763138E+01      2.37025018E-03     -2.53961197E-12        5.185031E+06
        -17.89999962     -28863.29492188     -6.80878754E+01      2.36390578E-03     -2.53709749E-12        5.180436E+06
        -17.87500000     -28861.17187500     -6.79173050E+01      2.35756487E-03     -2.53523830E-12        5.175840E+06
        -17.85000038     -28859.04882812     -6.77284393E+01      2.35122954E-03     -2.53268608E-12        5.171242E+06
        -17.82500076     -28856.92578125     -6.75633545E+01      2.34490144E-03     -2.53101294E-12        5.166642E+06
        -17.79999924     -28854.80468750     -6.73974609E+01      2.33857450E-03     -2.52998252E-12        5.162042E+06
        -17.77499962     -28852.68164062     -6.72233810E+01      2.33225152E-03     -2.52736807E-12        5.157438E+06
        -17.75000000     -28850.55859375     -6.70420303E+01      2.32593762E-03     -2.52496244E-12        5.152834E+06
        -17.72500038     -28848.43554688     -6.68597183E+01      2.31962674E-03     -2.52297792E-12        5.148228E+06
        -17.70000076     -28846.31250000     -6.66123123E+01      2.31332285E-03     -2.51876883E-12        5.143622E+06
        -17.67499924     -28844.19335938     -6.63946609E+01      2.30703270E-03     -2.51500036E-12        5.139020E+06
        -17.64999962     -28842.07226562     -6.62348480E+01      2.30074790E-03     -2.51275671E-12        5.134421E+06
        -17.62500000     -28839.95117188     -6.60458069E+01      2.29446893E-03     -2.51071321E-12        5.129821E+06
        -17.60000038     -28837.83007812     -6.58711319E+01      2.28819437E-03     -2.50799360E-12        5.125221E+06
        -17.57500076     -28835.71093750     -6.57126541E+01      2.28192913E-03     -2.50613180E-12        5.120620E+06
        -17.54999924     -28833.58984375     -6.55491409E+01      2.27566366E-03     -2.50511027E-12        5.116018E+06
        -17.52499962     -28831.46875000     -6.53594055E+01      2.26940354E-03     -2.50254743E-12        5.111412E+06
        -17.50000000     -28829.34960938     -6.51836472E+01      2.26315088E-03     -2.49996920E-12        5.106807E+06
        -17.47500038     -28827.23046875     -6.49796600E+01      2.25690380E-03     -2.49823404E-12        5.102198E+06
        -17.45000076     -28825.10937500     -6.47759094E+01      2.25065975E-03     -2.49454190E-12        5.097588E+06
        -17.42499924     -28822.99218750     -6.45861893E+01      2.24443106E-03     -2.49042085E-12        5.092979E+06
        -17.39999962     -28820.87304688     -6.43826370E+01      2.23820773E-03     -2.48821146E-12        5.088368E+06
        -17.37500000     -28818.75390625     -6.41792603E+01      2.23198999E-03     -2.48534353E-12        5.083755E+06
        -17.35000038     -28816.63671875     -6.40034103E+01      2.22578109E-03     -2.48246302E-12        5.079139E+06
        -17.32500076     -28814.51757812     -6.38544464E+01      2.21957755E-03     -2.48020072E-12        5.074521E+06
        -17.29999924     -28812.40039062     -6.36914787E+01      2.21338007E-03     -2.47897492E-12        5.069900E+06
        -17.27499962     -28810.28320312     -6.35415916E+01      2.20718281E-03     -2.47771725E-12        5.065275E+06
        -17.25000000     -28808.16601562     -6.33642960E+01      2.20099138E-03     -2.47622452E-12        5.060646E+06
        -17.22500038     -28806.04687500     -6.31601753E+01      2.19480181E-03     -2.47428445E-12        5.056014E+06
        -17.20000076     -28803.92968750     -6.29562607E+01      2.18861992E-03     -2.46982014E-12        5.051384E+06
        -17.17499924     -28801.81250000     -6.27393341E+01      2.18245271E-03     -2.46577433E-12        5.046755E+06
        -17.14999962     -28799.69531250     -6.25622749E+01      2.17629108E-03     -2.46379371E-12        5.042126E+06
        -17.12500000     -28797.58007812     -6.23850670E+01      2.17013364E-03     -2.46096221E-12        5.037498E+06
        -17.10000038     -28795.46289062     -6.22077065E+01      2.16398644E-03     -2.45832499E-12        5.032868E+06
        -17.07500076     -28793.34570312     -6.20561867E+01      2.15784204E-03     -2.45669544E-12        5.028236E+06
        -17.04999924     -28791.23046875     -6.18653412E+01      2.15170300E-03     -2.45401551E-12        5.023606E+06
        -17.02499962     -28789.11328125     -6.16746025E+01      2.14557210E-03     -2.45111548E-12        5.018974E+06
        -17.00000000     -28786.99804688     -6.15094757E+01      2.13944726E-03     -2.44901517E-12        5.014342E+06
        -16.97500038     -28784.88281250     -6.13313255E+01      2.13332684E-03     -2.44668847E-12        5.009710E+06
        -16.95000076     -28782.76757812     -6.11530418E+01      2.12721387E-03     -2.44393785E-12        5.005076E+06
        -16.92499924     -28780.65429688     -6.09746552E+01      2.12110719E-03     -2.44197891E-12        5.000445E+06
        -16.89999962     -28778.54101562     -6.07709846E+01      2.11500400E-03     -2.43898673E-12        4.995814E+06
        -16.87500000     -28776.42578125     -6.05550575E+01      2.10891222E-03     -2.43457620E-12        4.991187E+06
        -16.85000038     -28774.31054688     -6.03644791E+01      2.10283115E-03     -2.43136652E-12        4.986561E+06
        -16.82500076     -28772.19726562     -6.01987419E+01      2.09675543E-03     -2.42954051E-12        4.981939E+06
        -16.79999924     -28770.08203125     -6.00451813E+01      2.09068344E-03     -2.42709043E-12        4.977316E+06
        -16.77499962     -28767.97070312     -5.98911209E+01      2.08462006E-03     -2.42482293E-12        4.972692E+06
        -16.75000000     -28765.85742188     -5.97121010E+01      2.07855948E-03     -2.42352189E-12        4.968069E+06
        -16.72500038     -28763.74414062     -5.95330620E+01      2.07250239E-03     -2.42080769E-12        4.963448E+06
        -16.70000076     -28761.63281250     -5.93660965E+01      2.06645532E-03     -2.41729184E-12        4.958828E+06
        -16.67499924     -28759.51953125     -5.91746902E+01      2.06041615E-03     -2.41513970E-12        4.954209E+06
        -16.64999962     -28757.40820312     -5.89714088E+01      2.05437979E-03     -2.41237434E-12        4.949594E+06
        -16.62500000     -28755.29492188     -5.87923164E+01      2.04835413E-03     -2.40861953E-12        4.944981E+06
        -16.60000038     -28753.18164062     -5.86131592E+01      2.04233662E-03     -2.40641296E-12        4.940372E+06
        -16.57500076     -28751.06835938     -5.84458275E+01      2.03632214E-03     -2.40398717E-12        4.935764E+06
        -16.54999924     -28748.95703125     -5.82899742E+01      2.03031674E-03     -2.40057627E-12        4.931156E+06
        -16.52499962     -28746.84570312     -5.81103363E+01      2.02431926E-03     -2.39889076E-12        4.926549E+06
        -16.50000000     -28744.73437500     -5.79423561E+01      2.01832224E-03     -2.39659616E-12        4.921941E+06
        -16.47500038     -28742.62500000     -5.77741280E+01      2.01233639E-03     -2.39351833E-12        4.917332E+06
        -16.45000076     -28740.51562500     -5.75710258E+01      2.00635474E-03     -2.39118707E-12        4.912720E+06
        -16.42499924     -28738.40625000     -5.73682137E+01      2.00038031E-03     -2.38788221E-12        4.908109E+06
        -16.39999962     -28736.29687500     -5.71772118E+01      1.99441519E-03     -2.38361457E-12        4.903500E+06
        -16.37500000     -28734.18554688     -5.69977760E+01      1.98846241E-03     -2.38029301E-12        4.898892E+06
        -16.35000038     -28732.07617188     -5.68522949E+01      1.98251382E-03     -2.37865522E-12        4.894284E+06
        -16.32500076     -28729.96484375     -5.67176476E+01      1.97656895E-03     -2.37717745E-12        4.889673E+06
        -16.29999924     -28727.85546875     -5.65711212E+01      1.97062804E-03     -2.37567019E-12        4.885060E+06
        -16.27499962     -28725.74609375     -5.63904686E+01      1.96469063E-03     -2.37357139E-12        4.880444E+06
        -16.25000000     -28723.63867188     -5.62098236E+01      1.95876020E-03     -2.37089016E-12        4.875828E+06
        -16.22500038     -28721.52929688     -5.60402870E+01      1.95283629E-03     -2.36818941E-12        4.871212E+06
        -16.20000076     -28719.42187500     -5.58375473E+01      1.94691925E-03     -2.36435611E-12        4.866598E+06
        -16.17499924     -28717.31445312     -5.56022301E+01      1.94101455E-03     -2.35866621E-12        4.861988E+06
        -16.14999962     -28715.20507812     -5.54005318E+01      1.93512591E-03     -2.35427888E-12        4.857383E+06
        -16.12500000     -28713.09765625     -5.52426567E+01      1.92924310E-03     -2.35245720E-12        4.852780E+06
        -16.10000038     -28710.99023438     -5.51060829E+01      1.92336354E-03     -2.35079057E-12        4.848174E+06
        -16.07500076     -28708.88281250     -5.49903908E+01      1.91748922E-03     -2.34909683E-12        4.843568E+06
        -16.04999924     -28706.77539062     -5.48095016E+01      1.91161816E-03     -2.34719123E-12        4.838960E+06
        -16.02499962     -28704.66992188     -5.46180878E+01      1.90575328E-03     -2.34398850E-12        4.834352E+06
        -16.00000000     -28702.56250000     -5.44692497E+01      1.89989817E-03     -2.34113532E-12        4.829746E+06
        -15.97500038     -28700.45507812     -5.42777748E+01      1.89404760E-03     -2.33880298E-12        4.825141E+06
        -15.94999981     -28698.34765625     -5.40865593E+01      1.88820425E-03     -2.33482894E-12        4.820538E+06
        -15.92500019     -28696.24218750     -5.39268990E+01      1.88237347E-03     -2.33138877E-12        4.815937E+06
        -15.89999962     -28694.13671875     -5.37669868E+01      1.87654723E-03     -2.32936283E-12        4.811338E+06
        -15.87500000     -28692.03125000     -5.36068344E+01      1.87072670E-03     -2.32624120E-12        4.806737E+06
        -15.85000038     -28689.92578125     -5.34361305E+01      1.86491606E-03     -2.32328414E-12        4.802136E+06
        -15.82499981     -28687.82031250     -5.32551231E+01      1.85911031E-03     -2.32101556E-12        4.797534E+06
        -15.80000019     -28685.71484375     -5.30742455E+01      1.85331097E-03     -2.31731019E-12        4.792932E+06
        -15.77499962     -28683.60937500     -5.29035339E+01      1.84752373E-03     -2.31377417E-12        4.788332E+06
        -15.75000000     -28681.50585938     -5.27327538E+01      1.84174220E-03     -2.31127595E-12        4.783729E+06
        -15.72500038     -28679.40234375     -5.25418663E+01      1.83596730E-03     -2.30735570E-12        4.779127E+06
        -15.69999981     -28677.29882812     -5.23712273E+01      1.83020544E-03     -2.30412889E-12        4.774526E+06
        -15.67500019     -28675.19531250     -5.22303696E+01      1.82444672E-03     -2.30244664E-12        4.769924E+06
        -15.64999962     -28673.09179688     -5.20692101E+01      1.81869313E-03     -2.30004210E-12        4.765320E+06
        -15.62500000     -28670.99023438     -5.19078789E+01      1.81294652E-03     -2.29778848E-12        4.760714E+06
        -15.60000038     -28668.88671875     -5.17463608E+01      1.80720421E-03     -2.29499167E-12        4.756108E+06
        -15.57499981     -28666.78320312     -5.15748863E+01      1.80147158E-03     -2.29131948E-12        4.751501E+06
        -15.55000019     -28664.67968750     -5.13937225E+01      1.79574767E-03     -2.28814949E-12        4.746894E+06
        -15.52499962     -28662.57617188     -5.11933632E+01      1.79003086E-03     -2.28444976E-12        4.742287E+06
        -15.50000000     -28660.47460938     -5.10126495E+01      1.78432546E-03     -2.28006134E-12        4.737684E+06
        -15.47500038     -28658.37304688     -5.08607597E+01      1.77863054E-03     -2.27702492E-12        4.733082E+06
        -15.44999981     -28656.27148438     -5.07180634E+01      1.77294028E-03     -2.27515077E-12        4.728478E+06
        -15.42500019     -28654.16992188     -5.05844116E+01      1.76725478E-03     -2.27324800E-12        4.723868E+06
        -15.39999962     -28652.06835938     -5.04313164E+01      1.76157407E-03     -2.27098071E-12        4.719254E+06
        -15.37500000     -28649.96875000     -5.02310905E+01      1.75589998E-03     -2.26701470E-12        4.714638E+06
        -15.35000038     -28647.86718750     -5.00407486E+01      1.75023905E-03     -2.26220973E-12        4.710024E+06
        -15.32499981     -28645.76562500     -4.98784485E+01      1.74458884E-03     -2.25873356E-12        4.705410E+06
        -15.30000019     -28643.66406250     -4.97160339E+01      1.73894537E-03     -2.25573878E-12        4.700795E+06
        -15.27499962     -28641.56250000     -4.95626945E+01      1.73331017E-03     -2.25289188E-12        4.696178E+06
        -15.25000000     -28639.46289062     -4.93998642E+01      1.72768091E-03     -2.25018875E-12        4.691557E+06
        -15.22500038     -28637.36328125     -4.92279625E+01      1.72205933E-03     -2.24631576E-12        4.686935E+06
        -15.19999981     -28635.26367188     -4.90651588E+01      1.71644939E-03     -2.24227169E-12        4.682312E+06
        -15.17500019     -28633.16601562     -4.88932114E+01      1.71084795E-03     -2.23935974E-12        4.677688E+06
        -15.14999962     -28631.06640625     -4.87302742E+01      1.70525257E-03     -2.23610149E-12        4.673061E+06
        -15.12500000     -28628.96875000     -4.85850410E+01      1.69966742E-03     -2.23331618E-12        4.668430E+06
        -15.10000038     -28626.86914062     -4.84217072E+01      1.69408601E-03     -2.23066769E-12        4.663798E+06
        -15.07499981     -28624.77148438     -4.82495613E+01      1.68851414E-03     -2.22655163E-12        4.659164E+06
        -15.05000019     -28622.67187500     -4.80862694E+01      1.68295333E-03     -2.22291022E-12        4.654528E+06
        -15.02499962     -28620.57421875     -4.79315529E+01      1.67739962E-03     -2.22021381E-12        4.649893E+06
        -15.00000000     -28618.47656250     -4.77766914E+01      1.67185219E-03     -2.21701672E-12        4.645256E+06
        -14.97500038     -28616.37890625     -4.76216393E+01      1.66631455E-03     -2.21412277E-12        4.640616E+06
        -14.94999981     -28614.28320312     -4.74491615E+01      1.66078168E-03     -2.21088902E-12        4.635974E+06
        -14.92500019     -28612.18554688     -4.72768707E+01      1.65526010E-03     -2.20685362E-12        4.631333E+06
        -14.89999962     -28610.08789062     -4.71216431E+01      1.64974737E-03     -2.20406636E-12        4.626692E+06
        -14.87500000     -28607.99023438     -4.69408531E+01      1.64423976E-03     -2.20047158E-12        4.622050E+06
        -14.85000038     -28605.89453125     -4.67856102E+01      1.63874507E-03     -2.19655630E-12        4.617410E+06
        -14.82499981     -28603.79882812     -4.66468201E+01      1.63325702E-03     -2.19371721E-12        4.612768E+06
        -14.80000019     -28601.70312500     -4.64743805E+01      1.62777642E-03     -2.19070248E-12        4.608126E+06
        -14.77499962     -28599.60742188     -4.63186340E+01      1.62230351E-03     -2.18782371E-12        4.603482E+06
        -14.75000000     -28597.50976562     -4.61708984E+01      1.61683734E-03     -2.18507786E-12        4.598838E+06
        -14.72500038     -28595.41406250     -4.60065956E+01      1.61137816E-03     -2.18108084E-12        4.594194E+06
        -14.69999981     -28593.31835938     -4.58423309E+01      1.60593190E-03     -2.17753788E-12        4.589553E+06
        -14.67500019     -28591.22460938     -4.56780357E+01      1.60049042E-03     -2.17473869E-12        4.584912E+06
        -14.64999962     -28589.13085938     -4.55056877E+01      1.59505825E-03     -2.17116039E-12        4.580272E+06
        -14.62500000     -28587.03515625     -4.53334770E+01      1.58963469E-03     -2.16802271E-12        4.575632E+06
        -14.60000038     -28584.94140625     -4.51694031E+01      1.58421812E-03     -2.16380798E-12        4.570995E+06
        -14.57499981     -28582.84765625     -4.50133247E+01      1.57881563E-03     -2.15928989E-12        4.566359E+06
        -14.55000019     -28580.75390625     -4.48570633E+01      1.57342176E-03     -2.15656442E-12        4.561725E+06
        -14.52499962     -28578.66015625     -4.47085609E+01      1.56803278E-03     -2.15396342E-12        4.557089E+06
        -14.50000000     -28576.56640625     -4.45832253E+01      1.56265195E-03     -2.15178808E-12        4.552451E+06
        -14.47500038     -28574.47460938     -4.44494896E+01      1.55727391E-03     -2.14972875E-12        4.547811E+06
        -14.44999981     -28572.38085938     -4.42922440E+01      1.55190332E-03     -2.14645901E-12        4.543170E+06
        -14.42500019     -28570.28906250     -4.41195374E+01      1.54654158E-03     -2.14346770E-12        4.538527E+06
        -14.39999962     -28568.19531250     -4.39318275E+01      1.54118601E-03     -2.13927877E-12        4.533885E+06
        -14.37500000     -28566.10351562     -4.37597923E+01      1.53584522E-03     -2.13420883E-12        4.529247E+06
        -14.35000038     -28564.00976562     -4.36180420E+01      1.53051491E-03     -2.13088878E-12        4.524610E+06
        -14.32499981     -28561.91796875     -4.34909821E+01      1.52519078E-03     -2.12929414E-12        4.519973E+06
        -14.30000019     -28559.82421875     -4.33558693E+01      1.51986850E-03     -2.12795168E-12        4.515330E+06
        -14.27499962     -28557.73242188     -4.31906662E+01      1.51455111E-03     -2.12484002E-12        4.510685E+06
        -14.25000000     -28555.64062500     -4.30108871E+01      1.50924432E-03     -2.11940990E-12        4.506042E+06
        -14.22500038     -28553.55078125     -4.28535004E+01      1.50395406E-03     -2.11499286E-12        4.501404E+06
        -14.19999981     -28551.46093750     -4.27106209E+01      1.49866939E-03     -2.11242026E-12        4.496768E+06
        -14.17500019     -28549.37109375     -4.25747070E+01      1.49339193E-03     -2.11025121E-12        4.492127E+06
        -14.14999962     -28547.27929688     -4.24311562E+01      1.48811820E-03     -2.10819209E-12        4.487484E+06
        -14.12500000     -28545.18945312     -4.22587662E+01      1.48285099E-03     -2.10398279E-12        4.482842E+06
        -14.10000038     -28543.09960938     -4.20937691E+01      1.47759821E-03     -2.09948899E-12        4.478202E+06
        -14.07499981     -28541.00976562     -4.19359131E+01      1.47235359E-03     -2.09638969E-12        4.473564E+06
        -14.05000019     -28538.92187500     -4.17781181E+01      1.46711629E-03     -2.09285020E-12        4.468928E+06
        -14.02499962     -28536.83203125     -4.16273193E+01      1.46188936E-03     -2.08957656E-12        4.464292E+06
        -14.00000000     -28534.74218750     -4.14833565E+01      1.45666848E-03     -2.08669822E-12        4.459658E+06
        -13.97500038     -28532.65429688     -4.13461380E+01      1.45145587E-03     -2.08352237E-12        4.455024E+06
        -13.94999981     -28530.56640625     -4.11948166E+01      1.44625083E-03     -2.08129152E-12        4.450389E+06
        -13.92500019     -28528.47851562     -4.10434151E+01      1.44104939E-03     -2.07806667E-12        4.445755E+06
        -13.89999962     -28526.38867188     -4.08918953E+01      1.43586053E-03     -2.07400742E-12        4.441123E+06
        -13.87500000     -28524.30078125     -4.07267990E+01      1.43067935E-03     -2.07048029E-12        4.436494E+06
        -13.85000038     -28522.21289062     -4.05619087E+01      1.42550818E-03     -2.06639523E-12        4.431866E+06
        -13.82499981     -28520.12500000     -4.04105492E+01      1.42034737E-03     -2.06297783E-12        4.427242E+06
        -13.80000019     -28518.03710938     -4.02724304E+01      1.41519331E-03     -2.05981066E-12        4.422620E+06
        -13.77499962     -28515.95117188     -4.01340408E+01      1.41004834E-03     -2.05689415E-12        4.417996E+06
        -13.75000000     -28513.86328125     -3.99887772E+01      1.40490883E-03     -2.05422051E-12        4.413370E+06
        -13.72500038     -28511.77734375     -3.98303146E+01      1.39977725E-03     -2.05045507E-12        4.408745E+06
        -13.69999981     -28509.68945312     -3.96784592E+01      1.39465660E-03     -2.04707713E-12        4.404120E+06
        -13.67500019     -28507.60351562     -3.95329475E+01      1.38954190E-03     -2.04367773E-12        4.399494E+06
        -13.64999962     -28505.51757812     -3.93809319E+01      1.38443813E-03     -2.04000033E-12        4.394870E+06
        -13.62500000     -28503.43359375     -3.92353096E+01      1.37934193E-03     -2.03656883E-12        4.390245E+06
        -13.60000038     -28501.34765625     -3.90831947E+01      1.37425528E-03     -2.03285934E-12        4.385620E+06
        -13.57499981     -28499.26171875     -3.89374046E+01      1.36917771E-03     -2.02952650E-12        4.380995E+06
        -13.55000019     -28497.17578125     -3.88040237E+01      1.36410771E-03     -2.02669457E-12        4.376370E+06
        -13.52499962     -28495.09179688     -3.86641006E+01      1.35904422E-03     -2.02396715E-12        4.371743E+06
        -13.50000000     -28493.00781250     -3.85177460E+01      1.35398784E-03     -2.02082730E-12        4.367114E+06
        -13.47500038     -28490.92382812     -3.83713303E+01      1.34894007E-03     -2.01715272E-12        4.362486E+06
        -13.44999981     -28488.83984375     -3.82248383E+01      1.34390220E-03     -2.01372057E-12        4.357858E+06
        -13.42500019     -28486.75585938     -3.80721436E+01      1.33887155E-03     -2.01026847E-12        4.353230E+06
        -13.39999962     -28484.67187500     -3.79255638E+01      1.33385079E-03     -2.00667347E-12        4.348602E+06
        -13.37500000     -28482.58593750     -3.77788849E+01      1.32883817E-03     -2.00356788E-12        4.343975E+06
        -13.35000038     -28480.50195312     -3.76321754E+01      1.32383301E-03     -1.99993494E-12        4.339348E+06
        -13.32499981     -28478.41992188     -3.74853745E+01      1.31883845E-03     -1.99641432E-12        4.334720E+06
        -13.30000019     -28476.33593750     -3.73325882E+01      1.31385098E-03     -1.99224773E-12        4.330095E+06
        -13.27499962     -28474.25390625     -3.71799355E+01      1.30887725E-03     -1.98807615E-12        4.325475E+06
        -13.25000000     -28472.16992188     -3.70331764E+01      1.30391063E-03     -1.98513319E-12        4.320858E+06
        -13.22500038     -28470.08789062     -3.68980103E+01      1.29895157E-03     -1.98216660E-12        4.316241E+06
        -13.19999981     -28468.00781250     -3.67741203E+01      1.29399973E-03     -1.97966990E-12        4.311622E+06
        -13.17500019     -28465.92578125     -3.66440659E+01      1.28905324E-03     -1.97701968E-12        4.307000E+06
        -13.14999962     -28463.84375000     -3.65022697E+01      1.28411467E-03     -1.97385424E-12        4.302379E+06
        -13.12500000     -28461.76367188     -3.63432922E+01      1.27918401E-03     -1.97005671E-12        4.297756E+06
        -13.10000038     -28459.68359375     -3.61845856E+01      1.27426442E-03     -1.96503209E-12        4.293134E+06
        -13.07499981     -28457.60156250     -3.60316811E+01      1.26935891E-03     -1.96073583E-12        4.288516E+06
        -13.05000019     -28455.52148438     -3.58788834E+01      1.26446073E-03     -1.95690816E-12        4.283894E+06
        -13.02499962     -28453.43945312     -3.57428207E+01      1.25957432E-03     -1.95343004E-12        4.279269E+06
        -13.00000000     -28451.35937500     -3.56175423E+01      1.25469361E-03     -1.95076659E-12        4.274642E+06
        -12.97500038     -28449.27929688     -3.54973602E+01      1.24982046E-03     -1.94771911E-12        4.270013E+06
        -12.94999981     -28447.19921875     -3.53603821E+01      1.24495500E-03     -1.94500470E-12        4.265386E+06
        -12.92500019     -28445.11914062     -3.52124519E+01      1.24009547E-03     -1.94143378E-12        4.260758E+06
        -12.89999962     -28443.04101562     -3.50645905E+01      1.23524794E-03     -1.93784984E-12        4.256132E+06
        -12.87500000     -28440.96289062     -3.49114380E+01      1.23040634E-03     -1.93389185E-12        4.251504E+06
        -12.85000038     -28438.88281250     -3.47690315E+01      1.22557837E-03     -1.92957629E-12        4.246878E+06
        -12.82499981     -28436.80273438     -3.46318321E+01      1.22075842E-03     -1.92606239E-12        4.242248E+06
        -12.80000019     -28434.72460938     -3.44945412E+01      1.21594814E-03     -1.92264759E-12        4.237615E+06
        -12.77499962     -28432.64648438     -3.43675308E+01      1.21114519E-03     -1.91978876E-12        4.232977E+06
        -12.75000000     -28430.56640625     -3.42401924E+01      1.20634923E-03     -1.91713377E-12        4.228329E+06
        -12.72500038     -28428.49023438     -3.40970879E+01      1.20155956E-03     -1.91422008E-12        4.223670E+06
        -12.69999981     -28426.41210938     -3.39437828E+01      1.19677815E-03     -1.90968443E-12        4.219004E+06
        -12.67500019     -28424.33398438     -3.37958183E+01      1.19201117E-03     -1.90503342E-12        4.214333E+06
        -12.64999962     -28422.25585938     -3.36579857E+01      1.18725293E-03     -1.90161819E-12        4.209656E+06
        -12.62500000     -28420.17968750     -3.35351181E+01      1.18250307E-03     -1.89908527E-12        4.204968E+06
        -12.60000038     -28418.10351562     -3.34217949E+01      1.17775763E-03     -1.89708015E-12        4.200274E+06
        -12.57499981     -28416.02539062     -3.32980118E+01      1.17301766E-03     -1.89470293E-12        4.195571E+06
        -12.55000019     -28413.94921875     -3.31541901E+01      1.16828410E-03     -1.89173655E-12        4.190859E+06
        -12.52499962     -28411.87304688     -3.29860535E+01      1.16355903E-03     -1.88663776E-12        4.186142E+06
        -12.50000000     -28409.79687500     -3.28281860E+01      1.15885085E-03     -1.88110356E-12        4.181430E+06
        -12.47500038     -28407.72265625     -3.26946983E+01      1.15415349E-03     -1.87711066E-12        4.176715E+06
        -12.44999981     -28405.64648438     -3.25658684E+01      1.14946533E-03     -1.87419980E-12        4.171996E+06
        -12.42500019     -28403.57226562     -3.24415550E+01      1.14478252E-03     -1.87136808E-12        4.167272E+06
        -12.39999962     -28401.49609375     -3.23169327E+01      1.14010856E-03     -1.86753325E-12        4.162545E+06
        -12.37500000     -28399.42187500     -3.21826324E+01      1.13544485E-03     -1.86444176E-12        4.157814E+06
        -12.35000038     -28397.34765625     -3.20435753E+01      1.13078638E-03     -1.86142963E-12        4.153081E+06
        -12.32499981     -28395.27148438     -3.19183941E+01      1.12613779E-03     -1.85818071E-12        4.148347E+06
        -12.30000019     -28393.19726562     -3.17883205E+01      1.12149550E-03     -1.85533360E-12        4.143611E+06
        -12.27499962     -28391.12304688     -3.16489182E+01      1.11686112E-03     -1.85224665E-12        4.138873E+06
        -12.25000000     -28389.05078125     -3.14958897E+01      1.11223420E-03     -1.84775546E-12        4.134134E+06
        -12.22500038     -28386.97656250     -3.13387051E+01      1.10762229E-03     -1.84210069E-12        4.129396E+06
        -12.19999981     -28384.90429688     -3.12177677E+01      1.10302377E-03     -1.83855535E-12        4.124661E+06
        -12.17500019     -28382.83203125     -3.11187286E+01      1.09842955E-03     -1.83686855E-12        4.119917E+06
        -12.14999962     -28380.75976562     -3.10056038E+01      1.09383941E-03     -1.83503429E-12        4.115162E+06
        -12.12500000     -28378.68554688     -3.08656502E+01      1.08925439E-03     -1.83118603E-12        4.110400E+06
        -12.10000038     -28376.61328125     -3.07126770E+01      1.08468346E-03     -1.82691514E-12        4.105634E+06
        -12.07499981     -28374.54101562     -3.05643616E+01      1.08011987E-03     -1.82273099E-12        4.100862E+06
        -12.05000019     -28372.46875000     -3.04335499E+01      1.07556989E-03     -1.81813017E-12        4.096084E+06
